unit,mb0,mb0,mb0,mb0,mb0,mb0,mb1,mb1,mb1,mb1,mb1,mb1,mb2,mb2,mb2,mb2,mb2,mb2,mb3,mb3,mb3,mb3,mb3,mb3,mb4,mb4,mb4,mb4,mb4,mb4
time,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist
2018-01-01 13:00:00+01:00,False,False,True,0.0,106.59078999506815,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 13:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 13:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 13:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 14:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 14:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 14:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 14:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 15:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 15:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 15:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 15:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 16:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 16:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 16:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 16:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 17:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 17:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.425,340.0,0.0,False,False,True,0.425,340.0,0.0
2018-01-01 17:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 17:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 18:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 18:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 18:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 18:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 19:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 19:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 19:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 19:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 20:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 20:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 20:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 20:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,340.0,0.0,False,False,True,0.0,340.0,0.0
2018-01-01 21:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 21:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 21:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 21:45:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 22:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 22:15:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 22:30:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
